RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,SIZE_numeric,FOCUS_numeric,RES_numeric,STATUS_numeric,Region_Africa,Region_Americas,Region_Asia,Region_Europe,Region_Oceania
421.0,426.0,University of Limerick,Ireland,Europe,L,FC,HI,A,18.3,497.0,25.5,371.0,15.7,701.0,23.0,520.0,87.1,209.0,30.8,421.0,72.5,447.0,8.0,701.0,76.4,,3,,3,,False,False,False,True,False
423.0,446.0,Aston University,United Kingdom,Europe,L,CO,VH,A,12.5,601.0,18.5,478.0,9.0,701.0,34.4,388.0,94.2,160.0,53.8,274.0,79.2,336.0,19.6,569.0,46.9,,3,0.0,4,,False,False,False,True,False
423.0,441.0,Université Laval,Canada,Americas,L,FC,VH,A,19.2,468.0,8.1,601.0,26.0,572.0,23.8,512.0,55.8,336.0,41.6,344.0,80.2,317.0,36.4,349.0,78.4,,3,,4,,False,True,False,False,False
425.0,431.0,National Taipei University of Technology,Taiwan,Asia,M,FO,VH,A,13.9,601.0,54.7,154.0,24.3,602.0,41.6,334.0,19.8,602.0,20.6,531.0,21.3,701.0,22.5,509.0,31.3,,2,1.0,4,,False,False,True,False,False
426.0,489.0,IPB University (a.k.a. Bogor Agricultural University),Indonesia,Asia,L,FO,VH,A,23.5,375.0,46.9,196.0,71.4,186.0,1.8,701.0,53.2,351.0,3.6,701.0,19.1,701.0,33.9,373.0,35.1,,3,1.0,4,,False,False,True,False,False
426.0,481.0,Leibniz University Hannover,Germany,Europe,L,CO,VH,A,21.2,415.0,32.0,293.0,17.9,701.0,17.4,591.0,46.3,388.0,26.9,455.0,78.5,347.0,14.5,676.0,82.1,146.0,3,0.0,4,,False,False,False,True,False
428.0,440.0,Julius-Maximilians-Universität Würzburg,Germany,Europe,L,FC,VH,A,15.8,560.0,7.0,601.0,5.5,701.0,74.4,136.0,45.0,396.0,9.5,701.0,78.5,348.0,8.7,701.0,8.8,,3,,4,,False,False,False,True,False
428.0,454.0,Southeast University,China (Mainland),Asia,XL,FC,VH,A,13.5,601.0,6.6,601.0,20.8,658.0,82.0,102.0,14.4,675.0,3.4,701.0,69.2,494.0,5.0,701.0,11.6,,4,,4,,False,False,True,False,False
430.0,436.0,University of Science and Technology Beijing,China (Mainland),Asia,L,CO,VH,A,11.8,601.0,4.2,601.0,10.2,701.0,99.4,21.0,3.1,701.0,2.8,701.0,56.8,668.0,4.9,701.0,3.6,701.0,3,0.0,4,,False,False,True,False,False
431.0,452.0,Central South University,China (Mainland),Asia,XL,FO,VH,A,8.6,601.0,4.1,601.0,5.5,701.0,99.7,15.0,6.4,701.0,4.0,701.0,67.5,515.0,14.1,689.0,3.9,701.0,4,1.0,4,,False,False,True,False,False
431.0,418.0,Tomsk State University,Russia,Europe,M,CO,VH,A,22.0,403.0,13.5,601.0,99.0,36.0,4.2,701.0,21.6,574.0,91.6,113.0,64.1,571.0,4.4,701.0,1.4,701.0,2,0.0,4,,False,False,False,True,False
431.0,403.0,University of Granada,Spain,Europe,XL,FC,VH,A,44.4,191.0,14.1,581.0,5.7,701.0,26.2,482.0,3.1,701.0,14.8,628.0,96.3,52.0,4.9,701.0,26.3,,4,,4,,False,False,False,True,False
477.0,551.0,Ajman University,United Arab Emirates,Asia,S,FO,VH,B,17.3,521.0,42.2,221.0,9.6,701.0,3.2,701.0,100.0,6.0,100.0,3.0,48.4,701.0,9.8,701.0,1.4,701.0,1,1.0,4,,False,False,True,False,False
